"method","IF","seed","budget","role","run_name","status","prototypes","k_distribution","best_epoch","val","many","medium","few"
"Linear B300 unstable","100","1","300","negative","adaptive_linear_budget300_e50","ok","300","K=1:33 K=2:26 K=3:11 K=4:7 K=5:6 K=6:4 K=7:4 K=8:9","47","33.03","63.03030303030303","31.666666666666668","5.235294117647059"
"Linear B300 unstable","100","2","300","negative","adaptive_linear_budget300_e50_seed2","ok","300","K=1:33 K=2:26 K=3:11 K=4:7 K=5:6 K=6:4 K=7:4 K=8:9","50","30.41","59.36363636363637","28.454545454545453","4.205882352941177"
"Linear B300 unstable","100","3","300","negative","adaptive_linear_budget300_e50_seed3","ok","300","K=1:33 K=2:26 K=3:11 K=4:7 K=5:6 K=6:4 K=7:4 K=8:9","49","32.74","63.27272727272727","29.939393939393938","5.823529411764706"
"Adaptive K4 + EMA","100","1","250","negative","adaptive_k4_t01_tau025_e50_ema","ok","250","K=1:17 K=2:33 K=3:33 K=4:17","50","21.34","39.696969696969695","17.545454545454547","7.205882352941177"
"Adaptive K4 + conf-EMA","100","1","250","negative","adaptive_k4_t01_tau025_e50_confema","ok","250","K=1:17 K=2:33 K=3:33 K=4:17","50","23.58","48.121212121212125","20.727272727272727","2.5294117647058822"
"Adaptive K8 + EMA","100","1","449","negative","adaptive_k8_t01_tau025_e50_ema","ok","449","K=1:8 K=2:15 K=3:13 K=4:14 K=5:14 K=6:14 K=7:14 K=8:8","46","18.49","38.121212121212125","14.06060606060606","3.735294117647059"
"Adaptive K8 + conf-EMA","100","1","449","negative","adaptive_k8_t01_tau025_e50_confema","ok","449","K=1:8 K=2:15 K=3:13 K=4:14 K=5:14 K=6:14 K=7:14 K=8:8","49","24.04","48.78787878787879","20.151515151515152","3.7941176470588234"
"CE + LA","100","1","N/A","negative","ce_e50_la","ok","N/A","N/A","49","32.85","61.93939393939394","32.484848484848484","4.970588235294118"
"Fixed K4 + LA","100","1","400","negative","fixed_k4_t01_tau025_e50_la","ok","400","K=4:100","47","32.21","62.484848484848484","30.454545454545453","4.529411764705882"
"Adaptive K4 + LA","100","1","250","negative","adaptive_k4_t01_tau025_e50_la","ok","250","K=1:17 K=2:33 K=3:33 K=4:17","46","32.47","63.0","30.636363636363637","4.617647058823529"
"Adaptive K8 + LA","100","1","449","negative","adaptive_k8_t01_tau025_e50_la","ok","449","K=1:8 K=2:15 K=3:13 K=4:14 K=5:14 K=6:14 K=7:14 K=8:8","47","32.09","62.78787878787879","31.181818181818183","3.176470588235294"
